objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,z_spec
1237648721754718448,150.63229,0.26111798,18.57478,17.41875,16.96772,16.69042,16.52621,0.04374476
1237651801234407534,150.65588,0.14256914,19.87378,18.04945,17.08165,16.653,16.34041,0.1341933
1237648721754718436,150.59746,0.25431433,18.45261,17.6019,17.36246,17.14195,17.05969,0.04373935
1237648721754783856,150.66635,0.39568679,20.23662,18.31638,17.45768,17.08339,16.81218,0.09373849
1237648721754718358,150.62846,0.30728894,16.76798,15.17037,14.474,14.09286,13.99466,0.03367684
1237651801771213004,150.59717,0.60689085,19.35732,17.4506,16.40531,15.97847,15.65405,0.1305885
1237651752386756789,150.42172,0.96598983,20.43313,18.68449,17.54088,17.03984,16.71074,0.1723024
1237648722291589234,150.52094,0.65512034,19.93943,18.31441,17.53276,17.16509,16.83139,0.09766732
1237648722291589240,150.53582,0.71706055,19.58801,17.87838,17.04718,16.67749,16.35079,0.06266275
1237651752386887699,150.6514,0.84769954,18.93642,17.05225,16.14259,15.73638,15.4289,0.09175824
1237651752386822348,150.52911,0.87784241,21.57607,19.06393,17.7262,17.22941,16.93365,0.2310525
1237648722291589271,150.59319,0.82293996,18.6278,17.59283,17.1491,16.82381,16.62018,0.08082879
1237648722291523676,150.356,0.83320353,17.42531,16.09923,15.48654,15.15933,14.9097,0.04603692
1237648722291589229,150.51703,0.6875303,18.24776,16.61386,15.8554,15.4853,15.17339,0.04514595
1237648722291523780,150.48143,0.683905,19.27677,17.36455,16.40991,16.0056,15.67501,0.0943981
1237648722291523791,150.48582,0.78546799,19.82755,18.20958,17.40182,17.02225,16.72118,0.0866537
1237651752386822275,150.55164,0.9801528,18.86457,18.0815,17.75497,17.51165,17.46771,0.1333117
1237651801771344085,150.90336,0.6019003,18.9661,17.48695,16.78795,16.41529,16.17593,0.04468038
1237651801771344013,150.81107,0.55869069,20.65384,18.54383,17.36692,16.91129,16.6022,0.1784363
1237654670809694392,150.77933,0.50698198,19.33782,17.5768,16.78217,16.42185,16.12983,0.0444685
1237651801771278588,150.7797,0.54773925,18.59622,17.18951,16.39234,15.94082,15.58227,0.04719725
1237651801771344058,150.8774,0.61228833,19.08357,17.8075,17.26223,16.95663,16.75123,0.04479999
1237648721754783932,150.77794,0.3203997,18.11251,16.12175,15.27883,14.87226,14.5528,0.04526117
1237651801771343984,150.78601,0.58927991,19.40665,17.78078,17.03236,16.71148,16.46234,0.0464108
1237651801234407602,150.75307,0.18140725,19.23779,17.3467,16.39832,15.95758,15.64429,0.09957771
1237651800162238663,154.26601,-0.63191863,19.25992,17.58319,16.85215,16.47463,16.19323,0.05002861
1237648720682615061,154.3533,-0.60091386,22.78472,20.40882,18.62234,18.01587,17.6946,0.3475723
1237651800699109510,154.27964,-0.21352587,20.28774,18.20883,17.29536,16.89944,16.54482,0.09685588
1237648720682614910,154.27577,-0.50346982,19.96511,18.43051,17.35885,16.86741,16.4746,0.1811558
1237648721219485979,154.27904,-0.17563641,18.40129,17.22836,16.84777,16.65453,16.71417,0.03401261
1237651800162238865,154.35286,-0.7235153,19.76783,18.293,17.71394,17.37893,17.16938,0.06254094
1237648720682614942,154.33438,-0.60069303,19.35233,17.33181,16.38556,15.99278,15.63438,0.093678
1237648721219485839,154.3351,-0.15004415,19.84042,18.18842,17.38784,16.96897,16.656,0.06298256
1237651800699109562,154.33525,-0.26985609,20.23853,18.4601,17.66466,17.31818,17.03362,0.04992015
1237648720682614947,154.34333,-0.48212369,20.36599,18.81353,17.89203,17.41753,17.04672,0.1259797
1237654668663456037,153.71534,-1.1828537,20.55241,18.63022,17.63786,17.2275,16.91948,0.1369276
1237651799625105528,153.71179,-1.1226625,18.37004,16.39908,15.54593,15.11929,14.85415,0.0456965
1237648720145547522,153.89822,-1.0015006,18.97923,17.30952,16.54931,16.17441,15.88291,0.08365821
1237648720145547565,153.83149,-1.0094098,19.49797,18.2146,17.45111,16.99718,16.70384,0.1642963
1237648720145547571,153.85016,-0.98901879,20.45957,18.36287,17.26433,16.69403,16.26175,0.2016057
1237648720145481973,153.76244,-0.99730218,20.40406,18.50971,17.57011,17.16108,16.83359,0.09821908
1237648720145482111,153.66846,-0.99369942,19.16241,17.64903,17.18472,16.91809,16.71202,0.05977195
1237651799625105701,153.7702,-1.0519091,21.19821,19.25766,17.96258,17.53045,17.29183,0.1995688
1237651799625105751,153.72225,-1.1528677,18.00836,17.02436,16.64631,16.43637,16.30528,0.0202565
1237654669200392228,153.79488,-0.8088147,21.03947,18.97358,17.72778,17.2711,16.95726,0.1818369
1237654669200392341,153.82177,-0.82217575,19.17987,17.89536,17.36566,17.0061,16.86549,0.09969421
1237654668663521537,153.86592,-1.2038852,18.2252,16.7414,16.17173,15.84838,15.71454,0.06162147
1237654669200326940,153.72561,-0.79449651,18.89277,16.92448,16.09559,15.70394,15.39474,0.04809754
1237654669200392249,153.82982,-0.79390407,18.65045,16.73436,15.77156,15.37319,15.03357,0.09812863
1237648720145481936,153.68897,-0.8794834,19.99647,18.34508,17.51955,17.09129,16.72218,0.04731286
1237651799625171282,153.8176,-1.1277742,20.29066,18.48035,17.25137,16.7664,16.43063,0.2014655
1237651800699043965,154.10987,-0.2429876,18.90902,17.13521,16.26471,15.85868,15.51201,0.07077462
1237654669737328879,153.98011,-0.34360948,18.72917,16.81815,15.94488,15.54849,15.22799,0.08474965
1237648720682483961,154.06686,-0.49583761,19.07449,17.92801,17.38348,17.01652,16.82958,0.107872
1237654669200523424,154.0638,-0.75695272,18.79385,17.36572,16.67556,16.2827,16.0277,0.06982315
1237648721219354811,154.00259,-0.1127041,18.95741,16.96865,16.09515,15.66586,15.30814,0.05991426
1237648721219354782,153.96592,-0.042130038,20.25481,18.26785,17.087,16.58062,16.18936,0.1453415
1237651800162173161,154.12199,-0.72430181,20.49685,18.62824,17.68851,17.29489,16.92739,0.09582256
1237651800699043940,154.08088,-0.24129165,19.48615,18.15941,17.49598,17.1093,16.85124,0.08338461
1237654669200523510,154.19199,-0.76586366,19.47436,18.35182,17.55486,17.1299,16.89039,0.1961375
1237654669737328803,153.96943,-0.40348382,17.25396,15.27026,14.33698,13.91803,13.5995,0.07061815
1237648721219420318,154.09699,-0.080437803,20.24123,18.64083,17.84627,17.42027,17.17838,0.09483113
1237651800698978365,154.00872,-0.2513289,18.40061,17.6032,17.12418,16.85032,16.68449,0.03375706
1237651800698978345,154.02613,-0.28696117,19.66353,17.5734,16.68885,16.29018,15.99308,0.07039901
1237648721219354769,153.95489,-0.17987936,19.88339,18.06873,17.27722,16.89706,16.58388,0.05923948
1237654669737328894,153.99154,-0.40169339,23.89198,20.00132,18.1202,17.31094,16.92659,0.4679145
1237648721219420325,154.10014,-0.10588931,19.9451,18.00975,17.05621,16.61724,16.24415,0.09431144
1237648720145416478,153.55659,-0.8886416,19.25931,17.45141,16.6119,16.23687,15.92754,0.04484872
1237651799625105420,153.64679,-1.101619,19.05599,17.07785,16.22207,15.80505,15.55107,0.05959919
1237648720145416617,153.58553,-0.99544103,19.49903,18.10323,17.45656,17.07329,16.78906,0.09295561
